,id,pleiades,issued_by,mint_location,source,group,series,sub_series,metal,denomination,date_range,range_min,range_max,study_numbers,obv_die_numbers,number_of_obverse_dies,_649_625,_624_600,_599_575,_574_550,_549_525,_524_500,_499_475,_474_450,_449_425,_424_400,_399_375,_374_350,_349_325,_324_300,_299_275,_274_250,_249_225,_224_200,_199_175,_174_150,_149_125,_124_100,_99_75,_74_50,_49_25,_24_1,lat,long
48,49.0,462503,syracuse,syracuse,boehringer 1978,5.00,20.00,,silver,tetradrachm,450-439,-450.0,-439.0,640-651,326-329,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
49,50.0,462503,syracuse,syracuse,boehringer 1978,5.00,21.00,,silver,tetradrachm,450-439,-450.0,-439.0,652-662,330-333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
50,51.0,462503,syracuse,syracuse,boehringer 1978,5.00,21.00,,silver,hemilitron,450-439,-450.0,-439.0,663-665,333-336,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
51,52.0,462503,syracuse,syracuse,boehringer 1978,5.00,22.00,,silver,tetradrachm,450-439,-450.0,-439.0,666-686,337-340,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,3.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
52,53.0,462503,syracuse,syracuse,boehringer 1978,5.00,23.00,,silver,tetradrachm,450-439,-450.0,-439.0,687-712,341-347,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
53,54.0,462503,syracuse,syracuse,boehringer 1978,5.00,23.00,,silver,hemilitron,450-439,-450.0,-439.0,713-718,348-353,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
54,55.0,462503,syracuse,syracuse,boehringer 1978,6.00,24.00,,silver,tetradrachm,439-435,-439.0,-435.0,719-724,354-356,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
55,56.0,462503,syracuse,syracuse,boehringer 1978,6.00,24.00,,silver,hemilitron,439-435,-439.0,-435.0,725.00,357.00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
56,57.0,462503,syracuse,syracuse,boehringer 1978,6.00,25.00,,silver,tetradrachm,439-435,-439.0,-435.0,726-728,358-360,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
57,58.0,462503,syracuse,syracuse,boehringer 1978,6.00,25.00,,silver,litron,439-435,-439.0,-435.0,729-733,361-364,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0687655418,15.284171651
58,59.0,599925,samos,samos,barron 1966,euboic and lydo-milesian standards,group a,,silver,hexas,530-526,-530.0,-526.0,1-2,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.68825,26.944483
